employee_id,full_name,profession_id,profession_group_id,gender,date_of_birth,hire_date,resignation_date
1,"S.Tr.Kes, Haris Suprapto",1431,2,M,07/09/1985,02/12/2005,
2,"A.Md, Puspita Widodo",1427,2,F,28/05/1983,18/07/2021,
3,"MD, Widya Priyanto",1411,1,F,19/03/1990,31/12/2008,
4,"S.KM, Mahendra Hutabarat",1426,2,M,13/05/1974,02/06/2000,
5,"Endah Purwanto, M.M",1423,2,F,28/09/1972,11/10/2011,
6,"S.Kep, Wawan Hutapea",1413,1,M,28/12/1974,18/11/1999,
7,"A.Md.Kes, Vera Setiadi",1431,2,F,23/06/1979,29/06/2013,
8,"Purwanto Hermawan",1429,2,M,30/11/1993,12/07/2025,
9,"Tri Hermawan",1430,2,F,17/09/1967,02/04/1993,
10,"Citra Saputra",1430,2,F,04/01/1986,17/01/2011,
11,"Ners, Hesti Susanto",1413,1,F,31/03/1994,30/10/2017,
12,"Candra Hakim, MBBS",1411,1,M,24/01/1994,02/05/2018,
13,"Joko Purwanto",1432,2,M,14/06/1972,27/05/1998,
14,"Gilang Susanto",1429,2,M,01/11/1968,17/08/1995,
15,"Dwi Suryanto",1430,2,M,19/08/1981,27/11/2017,
16,"Nugroho Malik, M.Ft",1420,1,M,20/12/1971,26/12/1990,
17,"Wulan Raharjo, Dr.",1413,1,F,06/04/2000,20/05/2020,
18,"Ade Hermawan, A.Md",1427,2,M,07/08/1995,28/12/2014,
19,"A.Md.Kep, Vera Simanjuntak",1413,1,F,02/09/1970,02/02/2002,
20,"Ahmad Budiman, drg. Sp.BM",1412,1,M,12/05/1983,18/05/2021,07/07/2022
21,"Kusuma Siregar",1419,1,M,12/12/1971,18/12/1998,
22,"Jaya Susanto",1428,2,M,30/08/1965,05/06/2001,
23,"Fitri Suryanto, A.Md.Kes",1431,2,F,11/01/1989,24/10/2018,
24,"Zulkifli Siregar, MD",1411,1,M,09/09/1969,08/11/2003,
25,"Ani Gunawan, Ners",1413,1,F,15/07/1998,15/05/2019,
26,"Ani Prasetyo",1430,2,F,07/05/1987,21/03/2015,
27,"M.M, Irfan Panjaitan",1423,2,M,11/11/1997,21/07/2022,
28,"M.KM, Hendra Kusuma",1424,2,M,05/04/1999,22/03/2025,
29,"Joko Suprapto, S.Adm",1427,2,M,13/04/1969,16/04/1990,
30,"Lestari Permana, S.Tr.Rad",1417,1,F,24/01/1973,20/06/2006,
31,"Diah Nasution",1433,2,F,25/07/1980,16/06/2005,
32,"MBBS, Lestari Prabowo",1411,1,F,27/11/1965,29/09/1983,
33,"Putri Wijayanto",1411,1,F,25/08/1978,10/12/2011,01/03/2012
34,"Rahmat Sitompul, S.E",1428,2,M,02/11/1970,19/02/2010,
35,"Nanang Firmansyah",1430,2,M,09/08/1966,25/12/1985,
36,"Sri Kusuma",1415,1,F,08/09/1965,16/10/2003,
37,"MBBS, Ningsih Malik",1411,1,F,22/04/1989,26/09/2011,
38,"Dr., Tuti Susanto",1411,1,F,26/09/1968,01/05/1996,
39,"Prasetyo Nasution, A.Md.Rad",1417,1,M,12/10/2000,02/02/2025,
40,"Taufik Manurung",1429,2,M,03/08/1971,30/06/1999,19/08/2014
41,"Lina Pratama",1423,2,F,10/03/1965,22/04/1989,
42,"Indra Utomo, M.Kom",1425,2,M,06/10/1984,25/12/2016,
43,"Rudi Wijaya, M.M",1428,2,M,20/04/1993,15/08/2020,
44,"Nadia Prasetyo, CA",1428,2,F,08/08/1978,02/05/2003,
45,"S.Kep, Cahyo Suprapto",1413,1,M,07/04/1981,04/12/2015,
46,"MD, Dwi Hakim",1411,1,M,21/04/1985,21/04/2015,
47,"A.Md.T, Wahyu Simanjuntak",1434,2,M,05/05/1966,26/10/1992,
48,"Candra Rahman",1429,2,M,02/03/1977,15/02/2011,
49,"Lukas Hutabarat",1434,2,M,27/02/2003,23/07/2023,
50,"Rina Gunawan, MBA",1423,2,F,06/09/1998,25/03/2017,
51,"Kusuma Kusuma, Dr.",1411,1,M,25/07/1977,24/02/2015,24/11/2025
52,"dr., Taufik Saputra",1411,1,M,14/08/1993,05/03/2017,
53,"Nugroho Sugiarto, Sp.Farm",1419,1,M,13/08/1967,21/06/2001,
54,"Dr., Kartika Saputra",1411,1,F,19/10/1965,13/12/2002,30/12/2012
55,"Cahyo Firmansyah, S.Farm",1419,1,M,01/03/1973,19/05/1999,
56,"Dr., Elia Raharjo",1413,1,F,13/05/2003,15/05/2025,
57,"Fitri Lubis",1431,2,F,18/02/1989,13/10/2024,
58,"Budi Firmansyah",1413,1,M,11/02/1986,07/03/2007,
59,"Sp.Kep, Putri Setiawan",1413,1,F,24/10/1997,04/12/2020,05/05/2025
60,"Bella Kurniawan, M.K3",1435,2,F,21/04/1997,01/01/2022,
61,"A.Md.Kes, Usman Tampubolon",1415,1,M,07/07/2002,25/02/2024,
62,"Haris Hermawan, A.Md.Kes",1431,2,M,07/04/1969,31/01/1999,
63,"Diana Prasetyo, S.Kep",1413,1,F,27/08/1976,07/05/1996,
64,"Linda Lubis, M.Keb",1414,1,F,20/03/2002,23/03/2020,04/08/2023
65,"Susilo Hermawan",1432,2,M,27/07/2003,17/07/2022,
66,"Lestari Hutapea",1430,2,F,10/02/1990,14/07/2018,
67,"S.Gz, Fitri Suryanto",1421,1,F,10/10/1977,11/09/2009,
68,"Anisa Rahman",1417,1,F,03/05/1998,08/08/2023,
69,"Lestari Wijaya",1411,1,F,25/06/1985,06/04/2022,19/07/2025
70,"Rini Hermawan",1415,1,F,07/05/2000,30/03/2019,
71,"Kusuma Santoso",1429,2,M,27/11/1971,09/04/2011,
72,"M.Kep, Mega Kusuma",1413,1,F,04/07/1991,03/02/2025,
73,"M.Kep, Puspita Siregar",1413,1,F,02/09/1999,07/03/2024,
74,"Diana Sitompul, M.Kep",1413,1,F,28/05/1972,22/05/1996,
75,"Gilang Permana, S.Kep",1413,1,M,05/08/1975,10/11/2012,
76,"MBBS, Anisa Siregar",1411,1,F,11/08/1968,25/03/1991,
77,"Hendra Simbolon, M.Kep",1413,1,M,28/06/1984,17/06/2020,
78,"Widya Suryanto",1414,1,F,09/07/2001,28/11/2022,06/06/2024
79,"Fani Prasetyo, Sp.Kep",1413,1,F,03/12/1991,12/03/2016,
80,"Pharm.D, Lukman Wijayanto",1419,1,M,06/10/1994,07/08/2016,
