Employee ID,Employee Name,Gender,Profession,Profession Group,Date of Birth,Age,Hire Date,Resignation Date
1,"Haris Suprapto, S.Tr.Kes",M,CSSD,Non Medical,1985-09-07,40,02/12/2005,
2,"Puspita Widodo, A.Md",F,Administration,Non Medical,1983-05-28,42,18/07/2021,
3,"Widya Priyanto, MD",F,Doctor,Medical,1990-03-19,36,31/12/2008,
4,"Mahendra Hutabarat, S.KM",M,Medical Records,Non Medical,1974-05-13,51,02/06/2000,
5,"Endah Purwanto, M.M",F,Management,Non Medical,1972-09-28,53,11/10/2011,
6,"Wawan Hutapea, S.Kep",M,Nurse,Medical,1974-12-28,51,18/11/1999,
7,"Vera Setiadi, A.Md.Kes",F,CSSD,Non Medical,1979-06-23,46,29/06/2013,
8,Purwanto Hermawan,M,Security,Non Medical,1993-11-30,32,12/07/2025,
9,Tri Hermawan,F,Cleaning Service,Non Medical,1967-09-17,58,02/04/1993,
10,Citra Saputra,F,Cleaning Service,Non Medical,1986-01-04,40,17/01/2011,
11,"Hesti Susanto, Ners",F,Nurse,Medical,1994-03-31,32,30/10/2017,
12,"Candra Hakim, MBBS",M,Doctor,Medical,1994-01-24,32,02/05/2018,
13,Joko Purwanto,M,Ambulance Driver,Non Medical,1972-06-14,53,27/05/1998,
14,Gilang Susanto,M,Security,Non Medical,1968-11-01,57,17/08/1995,
15,Dwi Suryanto,M,Cleaning Service,Non Medical,1981-08-19,44,27/11/2017,
16,"Nugroho Malik, M.Ft",M,Physiotherapist,Medical,1971-12-20,54,26/12/1990,
17,Dr. Wulan Raharjo,F,Nurse,Medical,2000-04-06,26,20/05/2020,
18,"Ade Hermawan, A.Md",M,Administration,Non Medical,1995-08-07,30,28/12/2014,
19,"Vera Simanjuntak, A.Md.Kep",F,Nurse,Medical,1970-09-02,55,02/02/2002,
20,"drg. Ahmad Budiman, Sp.BM",M,Specialist Doctor,Medical,1983-05-12,42,18/05/2021,07/07/2022
21,Kusuma Siregar,M,Pharmacist,Medical,1971-12-12,54,18/12/1998,
22,Jaya Susanto,M,Finance,Non Medical,1965-08-30,60,05/06/2001,
23,"Fitri Suryanto, A.Md.Kes",F,CSSD,Non Medical,1989-01-11,37,24/10/2018,
24,"Zulkifli Siregar, MD",M,Doctor,Medical,1969-09-09,56,08/11/2003,
25,"Ani Gunawan, Ners",F,Nurse,Medical,1998-07-15,27,15/05/2019,
26,Ani Prasetyo,F,Cleaning Service,Non Medical,1987-05-07,39,21/03/2015,
27,"Irfan Panjaitan, M.M",M,Management,Non Medical,1997-11-11,28,21/07/2022,
28,"Hendra Kusuma, M.KM",M,Casemix / BPJS Claim,Non Medical,1999-04-05,27,22/03/2025,
29,"Joko Suprapto, S.Adm",M,Administration,Non Medical,1969-04-13,57,16/04/1990,
30,"Lestari Permana, S.Tr.Rad",F,Radiographer,Medical,1973-01-24,53,20/06/2006,
31,Diah Nasution,F,Laundry Staff,Non Medical,1980-07-25,45,16/06/2005,
32,"Lestari Prabowo, MBBS",F,Doctor,Medical,1965-11-27,60,29/09/1983,
33,Putri Wijayanto,F,Doctor,Medical,1978-08-25,47,10/12/2011,01/03/2012
34,"Rahmat Sitompul, S.E",M,Finance,Non Medical,1970-11-02,55,19/02/2010,
35,Nanang Firmansyah,M,Cleaning Service,Non Medical,1966-08-09,59,25/12/1985,
36,Sri Kusuma,F,Medical Support,Medical,1965-09-08,60,16/10/2003,
37,"Ningsih Malik, MBBS",F,Doctor,Medical,1989-04-22,37,26/09/2011,
38,Dr. Tuti Susanto,F,Doctor,Medical,1968-09-26,57,01/05/1996,
39,"Prasetyo Nasution, A.Md.Rad",M,Radiographer,Medical,2000-10-12,25,02/02/2025,
40,Taufik Manurung,M,Security,Non Medical,1971-08-03,54,30/06/1999,19/08/2014
41,Lina Pratama,F,Management,Non Medical,1965-03-10,61,22/04/1989,
42,"Indra Utomo, M.Kom",M,IT Team,Non Medical,1984-10-06,41,25/12/2016,
43,"Rudi Wijaya, M.M",M,Finance,Non Medical,1993-04-20,33,15/08/2020,
44,"Nadia Prasetyo, CA",F,Finance,Non Medical,1978-08-08,47,02/05/2003,
45,"Cahyo Suprapto, S.Kep",M,Nurse,Medical,1981-04-07,45,04/12/2015,
46,"Dwi Hakim, MD",M,Doctor,Medical,1985-04-21,41,21/04/2015,
47,"Wahyu Simanjuntak, A.Md.T",M,Building Technician,Non Medical,1966-05-05,60,26/10/1992,
48,Candra Rahman,M,Security,Non Medical,1977-03-02,49,15/02/2011,
49,Lukas Hutabarat,M,Building Technician,Non Medical,2003-02-27,23,23/07/2023,
50,"Rina Gunawan, MBA",F,Management,Non Medical,1998-09-06,27,25/03/2017,
51,Dr. Kusuma Kusuma,M,Doctor,Medical,1977-07-25,48,24/02/2015,24/11/2025
52,dr. Taufik Saputra,M,Doctor,Medical,1993-08-14,32,05/03/2017,
53,"Nugroho Sugiarto, Sp.Farm",M,Pharmacist,Medical,1967-08-13,58,21/06/2001,
54,Dr. Kartika Saputra,F,Doctor,Medical,1965-10-19,60,13/12/2002,30/12/2012
55,"Cahyo Firmansyah, S.Farm",M,Pharmacist,Medical,1973-03-01,53,19/05/1999,
56,Dr. Elia Raharjo,F,Nurse,Medical,2003-05-13,22,15/05/2025,
57,Fitri Lubis,F,CSSD,Non Medical,1989-02-18,37,13/10/2024,
58,Budi Firmansyah,M,Nurse,Medical,1986-02-11,40,07/03/2007,
59,"Putri Setiawan, Sp.Kep",F,Nurse,Medical,1997-10-24,28,04/12/2020,05/05/2025
60,"Bella Kurniawan, M.K3",F,K3 / Occupational Health & Safety,Non Medical,1997-04-21,29,01/01/2022,
61,"Usman Tampubolon, A.Md.Kes",M,Medical Support,Medical,2002-07-07,23,25/02/2024,
62,"Haris Hermawan, A.Md.Kes",M,CSSD,Non Medical,1969-04-07,57,31/01/1999,
63,"Diana Prasetyo, S.Kep",F,Nurse,Medical,1976-08-27,49,07/05/1996,
64,"Linda Lubis, M.Keb",F,Midwife,Medical,2002-03-20,24,23/03/2020,04/08/2023
65,Susilo Hermawan,M,Ambulance Driver,Non Medical,2003-07-27,22,17/07/2022,
66,Lestari Hutapea,F,Cleaning Service,Non Medical,1990-02-10,36,14/07/2018,
67,"Fitri Suryanto, S.Gz",F,Nutritionist,Medical,1977-10-10,48,11/09/2009,
68,Anisa Rahman,F,Radiographer,Medical,1998-05-03,28,08/08/2023,
69,Lestari Wijaya,F,Doctor,Medical,1985-06-25,40,06/04/2022,19/07/2025
70,Rini Hermawan,F,Medical Support,Medical,2000-05-07,26,30/03/2019,
71,Kusuma Santoso,M,Security,Non Medical,1971-11-27,54,09/04/2011,
72,"Mega Kusuma, M.Kep",F,Nurse,Medical,1991-07-04,34,03/02/2025,
73,"Puspita Siregar, M.Kep",F,Nurse,Medical,1999-09-02,26,07/03/2024,
74,"Diana Sitompul, M.Kep",F,Nurse,Medical,1972-05-28,53,22/05/1996,
75,"Gilang Permana, S.Kep",M,Nurse,Medical,1975-08-05,50,10/11/2012,
76,"Anisa Siregar, MBBS",F,Doctor,Medical,1968-08-11,57,25/03/1991,
77,"Hendra Simbolon, M.Kep",M,Nurse,Medical,1984-06-28,41,17/06/2020,
78,Widya Suryanto,F,Midwife,Medical,2001-07-09,24,28/11/2022,06/06/2024
79,"Fani Prasetyo, Sp.Kep",F,Nurse,Medical,1991-12-03,34,12/03/2016,
80,"Lukman Wijayanto, Pharm.D",M,Pharmacist,Medical,1994-10-06,31,07/08/2016,
81,"Citra Nasution, A.Md.Keb",F,Midwife,Medical,1977-09-18,48,22/03/2000,
82,"drg. Indah Tampubolon, Sp.BM",F,Specialist Doctor,Medical,1972-02-27,54,08/09/1999,
83,"Yanti Pasaribu, Apt.",F,Pharmacist,Medical,1969-08-10,56,24/11/1991,
84,"Nadia Tampubolon, A.Md.AK",F,Laboratory Analyst,Medical,1967-05-31,58,03/08/1999,
85,Bambang Santoso,M,Casemix / BPJS Claim,Non Medical,1998-02-07,28,24/05/2023,
86,Dimas Simanjuntak,M,Security,Non Medical,1965-08-03,60,21/06/1990,
87,"Rina Manurung, Ners",F,Nurse,Medical,1974-07-30,51,18/07/1992,
88,"Fitri Sari, S.Sos",F,Administration,Non Medical,1966-09-15,59,01/10/2001,
89,"Fitri Susanto, M.Farm",F,Pharmacist,Medical,1977-04-04,49,09/08/2014,
90,"Retno Manurung, SST",F,Radiographer,Medical,1987-09-03,38,16/03/2010,
91,Galih Permana,M,Ambulance Driver,Non Medical,1996-05-21,29,05/08/2019,
92,"dr. Sri Santoso, Sp.KK",F,Specialist Doctor,Medical,1990-12-24,35,13/06/2021,
93,Dr. Diah Santoso,F,Nurse,Medical,1995-11-14,30,09/02/2024,
94,"Firmansyah Wibowo, S.E",M,Administration,Non Medical,1969-11-07,56,02/09/1988,
